landing_page_id,variant_type,page_url,product_id
1,B,http://example.com/landing_1,13
2,B,http://example.com/landing_2,19
3,A,http://example.com/landing_3,13
4,A,http://example.com/landing_4,4
5,A,http://example.com/landing_5,7
6,A,http://example.com/landing_6,20
7,B,http://example.com/landing_7,9
8,A,http://example.com/landing_8,12
9,B,http://example.com/landing_9,17
10,B,http://example.com/landing_10,17
11,A,http://example.com/landing_11,4
12,A,http://example.com/landing_12,20
13,B,http://example.com/landing_13,3
14,A,http://example.com/landing_14,9
15,B,http://example.com/landing_15,20
16,A,http://example.com/landing_16,13
17,A,http://example.com/landing_17,14
18,A,http://example.com/landing_18,6
19,B,http://example.com/landing_19,2
20,B,http://example.com/landing_20,13
21,A,http://example.com/landing_21,18
22,B,http://example.com/landing_22,1
23,B,http://example.com/landing_23,1
24,B,http://example.com/landing_24,17
25,B,http://example.com/landing_25,12
26,A,http://example.com/landing_26,15
27,A,http://example.com/landing_27,19
28,A,http://example.com/landing_28,8
29,A,http://example.com/landing_29,8
30,A,http://example.com/landing_30,4
31,B,http://example.com/landing_31,7
32,B,http://example.com/landing_32,16
33,A,http://example.com/landing_33,4
34,B,http://example.com/landing_34,11
35,A,http://example.com/landing_35,20
36,B,http://example.com/landing_36,4
37,B,http://example.com/landing_37,16
38,A,http://example.com/landing_38,8
39,A,http://example.com/landing_39,16
40,A,http://example.com/landing_40,9
